Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
5,0,6,2,yes,no,information security,poor,poor,programming,testing,BPA,no,Management,smart worker,yes,no,Applications Developer
7,6,4,3,no,yes,shell programming,excellent,medium,Management,system developer,Cloud Services,yes,Technical,hard worker,no,yes,Applications Developer
2,3,9,1,no,yes,information security,excellent,poor,data engineering,Business process analyst,product development,yes,Technical,smart worker,no,no,Applications Developer
2,6,3,5,no,yes,r programming,excellent,poor,networks,testing,Testing and Maintainance Services,yes,Management,smart worker,yes,yes,Applications Developer
2,0,3,4,yes,no,distro making,excellent,medium,Software Engineering,system developer,BPA,no,Technical,hard worker,yes,no,Applications Developer
7,3,5,7,yes,yes,distro making,poor,excellent,cloud computing domain,security,Cloud Services,no,Management,hard worker,no,yes,Applications Developer
9,1,9,1,yes,yes,machine learning,medium,excellent,cloud computing domain,testing,Cloud Services,no,Technical,smart worker,no,yes,Applications Developer
9,0,6,1,no,no,machine learning,medium,poor,parallel computing,developer,BPA,no,Technical,smart worker,no,no,Applications Developer
1,1,1,4,yes,yes,full stack,excellent,excellent,programming,Business process analyst,SAaS services,yes,Technical,smart worker,yes,yes,Applications Developer
6,5,4,2,no,yes,machine learning,excellent,poor,networks,system developer,SAaS services,no,Management,hard worker,yes,yes,Applications Developer
6,0,8,9,no,yes,full stack,poor,medium,IOT,developer,Web Services,yes,Management,hard worker,no,no,Applications Developer
9,6,3,7,yes,no,information security,poor,medium,parallel computing,Business process analyst,Finance,no,Management,smart worker,yes,no,Applications Developer
4,4,6,5,no,yes,hadoop,excellent,medium,networks,Business process analyst,Sales and Marketing,no,Management,smart worker,yes,no,Applications Developer
8,0,9,6,yes,yes,shell programming,poor,poor,Computer Architecture,security,Sales and Marketing,no,Management,smart worker,no,no,Applications Developer
1,0,3,4,no,yes,hadoop,medium,medium,Software Engineering,cloud computing,Product based,no,Management,hard worker,yes,no,Applications Developer
1,0,2,4,yes,no,distro making,poor,poor,Computer Architecture,system developer,Testing and Maintainance Services,yes,Management,hard worker,yes,yes,Applications Developer
2,3,5,1,yes,no,r programming,excellent,medium,networks,developer,Cloud Services,no,Technical,hard worker,yes,yes,Applications Developer
6,2,3,9,no,yes,information security,excellent,excellent,hacking,testing,Testing and Maintainance Services,yes,Management,hard worker,no,yes,Applications Developer
2,0,8,7,no,no,information security,excellent,poor,data engineering,cloud computing,Product based,no,Technical,smart worker,no,yes,Applications Developer
3,2,1,2,yes,yes,distro making,excellent,medium,Computer Architecture,security,Cloud Services,no,Technical,smart worker,no,no,Applications Developer
2,3,2,9,yes,no,information security,excellent,excellent,hacking,system developer,Sales and Marketing,yes,Management,smart worker,no,yes,Applications Developer
5,5,2,6,no,no,r programming,medium,poor,cloud computing domain,Business process analyst,SAaS services,yes,Management,hard worker,no,yes,Applications Developer
3,5,6,4,yes,yes,hadoop,excellent,poor,cloud computing domain,testing,BPA,no,Management,smart worker,yes,no,Applications Developer
1,2,8,9,yes,no,hadoop,medium,poor,networks,cloud computing,SAaS services,yes,Management,hard worker,no,no,Applications Developer
6,1,9,7,no,yes,information security,excellent,poor,Management,Business process analyst,product development,no,Management,smart worker,yes,yes,Applications Developer
9,0,3,5,no,yes,information security,poor,poor,IOT,system developer,SAaS services,yes,Technical,hard worker,no,yes,Applications Developer
9,6,5,4,yes,no,hadoop,medium,poor,parallel computing,Business process analyst,Sales and Marketing,yes,Technical,hard worker,no,no,Applications Developer
8,4,4,5,no,no,information security,poor,poor,programming,security,Web Services,yes,Management,smart worker,yes,no,Applications Developer
9,6,6,2,no,yes,full stack,medium,poor,Management,system developer,BPA,no,Management,smart worker,no,no,Applications Developer
6,5,5,7,no,no,full stack,medium,excellent,cloud computing domain,Business process analyst,Product based,no,Technical,smart worker,no,no,Applications Developer
2,3,4,4,yes,no,shell programming,excellent,medium,cloud computing domain,Business process analyst,Finance,no,Management,smart worker,no,yes,Applications Developer
9,0,8,4,no,no,information security,poor,medium,programming,developer,Finance,no,Technical,smart worker,no,no,Applications Developer
4,2,9,3,no,no,shell programming,medium,medium,parallel computing,system developer,BPA,no,Technical,smart worker,no,no,Applications Developer
5,3,7,1,no,yes,shell programming,excellent,medium,cloud computing domain,security,Sales and Marketing,no,Technical,hard worker,no,yes,Applications Developer
9,0,9,7,yes,no,app development,poor,medium,Computer Architecture,security,SAaS services,no,Management,hard worker,yes,no,Applications Developer
1,2,5,4,yes,yes,hadoop,excellent,poor,data engineering,Business process analyst,Web Services,yes,Management,smart worker,yes,no,Applications Developer
6,0,2,7,yes,yes,r programming,excellent,excellent,hacking,Business process analyst,BPA,yes,Management,hard worker,no,yes,Applications Developer
7,1,6,6,no,no,app development,excellent,excellent,networks,security,product development,yes,Management,hard worker,yes,no,Applications Developer
5,0,5,1,yes,no,hadoop,excellent,excellent,cloud computing domain,cloud computing,BPA,no,Technical,smart worker,no,yes,Applications Developer
8,2,3,6,yes,no,shell programming,excellent,excellent,cloud computing domain,testing,product development,yes,Technical,hard worker,yes,no,Applications Developer
2,3,9,4,no,no,machine learning,poor,poor,hacking,cloud computing,Finance,no,Management,smart worker,yes,no,Applications Developer
4,0,4,5,no,yes,information security,poor,poor,parallel computing,Business process analyst,Finance,no,Technical,smart worker,yes,yes,Applications Developer
8,1,8,6,yes,no,r programming,medium,excellent,data engineering,security,Cloud Services,no,Technical,hard worker,no,yes,Applications Developer
1,1,5,5,yes,no,app development,excellent,poor,Computer Architecture,testing,Finance,no,Technical,smart worker,no,no,Applications Developer
6,0,2,3,yes,no,python,poor,excellent,Management,system developer,BPA,yes,Management,hard worker,yes,yes,Applications Developer
7,5,2,8,yes,no,hadoop,poor,medium,Management,security,SAaS services,no,Technical,hard worker,no,no,Applications Developer
8,1,1,5,yes,yes,shell programming,poor,medium,networks,security,Sales and Marketing,yes,Technical,hard worker,no,yes,Applications Developer
7,4,2,8,yes,no,app development,poor,poor,cloud computing domain,Business process analyst,Web Services,no,Management,hard worker,no,yes,Applications Developer
2,2,2,1,no,yes,shell programming,excellent,excellent,programming,security,BPA,no,Technical,hard worker,no,yes,Applications Developer
6,2,8,1,yes,yes,r programming,excellent,poor,networks,cloud computing,Product based,yes,Management,smart worker,no,yes,Applications Developer
9,2,6,9,yes,yes,machine learning,excellent,excellent,data engineering,developer,Sales and Marketing,yes,Technical,smart worker,yes,yes,Applications Developer
4,3,5,2,no,yes,hadoop,excellent,poor,Computer Architecture,cloud computing,BPA,yes,Management,hard worker,no,yes,Applications Developer
4,0,9,3,yes,no,information security,poor,medium,parallel computing,developer,Service Based,yes,Management,hard worker,no,yes,Applications Developer
1,5,1,8,no,no,machine learning,medium,medium,hacking,Business process analyst,Finance,no,Management,hard worker,yes,yes,Applications Developer
2,2,8,3,no,no,machine learning,poor,excellent,hacking,testing,SAaS services,yes,Technical,hard worker,no,yes,Applications Developer
6,2,1,8,yes,yes,hadoop,excellent,excellent,programming,security,Web Services,yes,Management,hard worker,no,no,Applications Developer
9,0,6,1,yes,no,r programming,poor,poor,data engineering,developer,Testing and Maintainance Services,yes,Technical,smart worker,yes,yes,Applications Developer
9,5,5,4,yes,yes,shell programming,excellent,poor,networks,Business process analyst,product development,yes,Management,smart worker,no,yes,Applications Developer
5,0,1,7,yes,no,hadoop,excellent,medium,parallel computing,system developer,Service Based,no,Technical,hard worker,yes,yes,Applications Developer
5,5,7,8,yes,no,machine learning,medium,poor,networks,system developer,Finance,yes,Management,smart worker,no,no,Applications Developer
3,0,7,9,no,yes,full stack,medium,poor,data engineering,security,product development,yes,Technical,hard worker,no,no,Applications Developer
2,6,6,1,no,yes,hadoop,poor,medium,IOT,Business process analyst,Sales and Marketing,no,Technical,hard worker,yes,yes,Applications Developer
3,1,1,8,no,no,r programming,excellent,poor,parallel computing,developer,Product based,yes,Management,smart worker,yes,yes,Applications Developer
6,0,4,4,yes,yes,r programming,excellent,medium,IOT,developer,Finance,yes,Technical,smart worker,yes,no,Applications Developer
1,0,9,2,no,no,hadoop,poor,excellent,data engineering,system developer,Web Services,no,Technical,smart worker,yes,yes,Applications Developer
7,6,9,3,no,yes,full stack,medium,medium,hacking,Business process analyst,SAaS services,no,Technical,hard worker,no,yes,Applications Developer
4,6,4,6,no,no,hadoop,medium,poor,cloud computing domain,cloud computing,Cloud Services,no,Management,hard worker,yes,yes,Applications Developer
4,5,4,4,yes,no,hadoop,excellent,medium,Computer Architecture,cloud computing,Finance,yes,Technical,hard worker,yes,yes,Applications Developer
9,4,6,4,no,yes,information security,medium,excellent,programming,security,Cloud Services,yes,Management,smart worker,no,yes,Applications Developer
8,6,1,8,no,no,r programming,excellent,poor,programming,testing,Testing and Maintainance Services,yes,Technical,hard worker,no,yes,Applications Developer
1,6,4,5,no,yes,full stack,medium,excellent,cloud computing domain,testing,Service Based,yes,Management,smart worker,no,no,Applications Developer
2,4,5,3,yes,yes,machine learning,medium,excellent,cloud computing domain,cloud computing,Testing and Maintainance Services,yes,Management,smart worker,yes,no,Applications Developer
6,4,3,3,yes,yes,r programming,medium,excellent,networks,Business process analyst,Sales and Marketing,no,Technical,smart worker,no,yes,Applications Developer
4,2,7,3,yes,yes,information security,excellent,medium,networks,developer,Testing and Maintainance Services,yes,Management,smart worker,yes,no,Applications Developer
1,4,7,6,yes,yes,r programming,excellent,poor,Computer Architecture,testing,Service Based,no,Management,hard worker,no,yes,Applications Developer
5,5,3,1,yes,yes,python,excellent,excellent,IOT,security,BPA,no,Technical,hard worker,yes,yes,Applications Developer
4,0,7,2,no,no,distro making,excellent,excellent,parallel computing,testing,Testing and Maintainance Services,no,Management,smart worker,no,yes,Applications Developer
9,4,3,5,no,yes,app development,poor,excellent,Computer Architecture,cloud computing,Web Services,no,Management,smart worker,yes,yes,Applications Developer
3,2,4,4,yes,no,app development,excellent,poor,programming,Business process analyst,Service Based,no,Management,hard worker,no,yes,Applications Developer
3,3,9,7,no,yes,r programming,poor,poor,Software Engineering,system developer,product development,yes,Management,hard worker,yes,no,Applications Developer
6,2,8,9,no,yes,python,medium,medium,Management,testing,SAaS services,no,Technical,hard worker,yes,yes,Applications Developer
2,2,2,7,yes,yes,shell programming,excellent,medium,Computer Architecture,cloud computing,Finance,yes,Management,hard worker,yes,no,Applications Developer
2,6,5,1,no,no,distro making,poor,poor,hacking,system developer,Finance,yes,Management,hard worker,no,yes,Applications Developer
8,6,4,5,yes,yes,shell programming,medium,excellent,cloud computing domain,developer,Sales and Marketing,no,Technical,smart worker,no,yes,Applications Developer
5,3,2,7,no,no,r programming,excellent,poor,networks,cloud computing,Testing and Maintainance Services,no,Technical,smart worker,yes,no,Applications Developer
8,0,8,2,no,yes,python,medium,excellent,Management,Business process analyst,BPA,no,Management,hard worker,no,no,Applications Developer
2,2,1,7,yes,yes,app development,excellent,medium,data engineering,security,Web Services,yes,Technical,smart worker,yes,yes,Applications Developer
5,4,5,9,no,yes,shell programming,poor,medium,Computer Architecture,system developer,Testing and Maintainance Services,yes,Management,smart worker,yes,yes,Applications Developer
9,0,4,2,yes,yes,shell programming,poor,poor,hacking,cloud computing,Testing and Maintainance Services,no,Technical,smart worker,no,no,Applications Developer
5,3,7,7,no,no,r programming,excellent,medium,networks,security,Web Services,yes,Technical,smart worker,yes,yes,Applications Developer
4,2,8,2,yes,no,hadoop,medium,medium,Management,cloud computing,Sales and Marketing,no,Management,hard worker,yes,no,Applications Developer
9,1,7,7,yes,no,information security,excellent,poor,Computer Architecture,cloud computing,Cloud Services,no,Technical,hard worker,yes,yes,Applications Developer
5,5,1,8,yes,yes,shell programming,excellent,medium,hacking,developer,Finance,yes,Technical,hard worker,yes,yes,Applications Developer
1,1,1,9,yes,no,app development,poor,medium,Computer Architecture,developer,Service Based,no,Technical,smart worker,no,no,Applications Developer
7,4,6,9,yes,no,machine learning,medium,poor,networks,testing,Sales and Marketing,no,Management,smart worker,no,yes,Applications Developer
3,1,6,5,no,yes,machine learning,poor,poor,Software Engineering,system developer,Service Based,no,Management,hard worker,yes,no,Applications Developer
6,0,5,7,no,no,app development,poor,excellent,Software Engineering,security,Product based,no,Technical,smart worker,no,no,Applications Developer
1,5,5,5,yes,yes,shell programming,medium,medium,data engineering,Business process analyst,Service Based,no,Management,hard worker,yes,yes,Applications Developer
4,3,1,9,yes,yes,machine learning,medium,excellent,Computer Architecture,testing,Sales and Marketing,yes,Management,hard worker,yes,yes,Applications Developer
1,2,3,8,yes,yes,python,medium,poor,data engineering,security,BPA,yes,Technical,hard worker,no,yes,Applications Developer
5,1,5,4,no,no,machine learning,poor,medium,parallel computing,developer,Cloud Services,yes,Technical,smart worker,yes,no,Applications Developer
9,4,9,4,yes,no,hadoop,poor,excellent,Software Engineering,testing,Product based,yes,Management,hard worker,no,yes,Applications Developer
2,1,9,8,yes,yes,python,poor,medium,cloud computing domain,system developer,Cloud Services,yes,Management,hard worker,no,yes,Applications Developer
4,4,5,1,no,yes,shell programming,poor,medium,programming,system developer,Testing and Maintainance Services,yes,Technical,smart worker,yes,no,Applications Developer
1,5,5,9,yes,no,full stack,medium,poor,Software Engineering,developer,Service Based,no,Management,hard worker,yes,yes,Applications Developer
1,3,7,3,yes,yes,r programming,medium,poor,programming,system developer,Product based,yes,Management,smart worker,yes,no,Applications Developer
7,5,2,8,no,no,full stack,medium,poor,networks,developer,product development,yes,Management,smart worker,no,no,Applications Developer
8,4,9,4,yes,no,information security,poor,excellent,IOT,developer,Web Services,no,Management,hard worker,yes,no,Applications Developer
1,2,3,5,no,no,full stack,poor,poor,Computer Architecture,system developer,product development,no,Technical,smart worker,yes,yes,Applications Developer
5,6,7,9,yes,yes,distro making,poor,excellent,parallel computing,testing,SAaS services,yes,Technical,smart worker,no,no,Applications Developer
9,6,3,5,no,no,app development,medium,excellent,Computer Architecture,security,product development,yes,Management,hard worker,yes,yes,Applications Developer
4,6,1,9,yes,no,shell programming,excellent,medium,parallel computing,cloud computing,Testing and Maintainance Services,no,Technical,hard worker,no,yes,Applications Developer
6,1,7,4,no,yes,information security,excellent,excellent,parallel computing,Business process analyst,Finance,yes,Technical,smart worker,no,yes,Applications Developer
6,0,7,7,yes,yes,app development,poor,medium,parallel computing,testing,product development,no,Technical,hard worker,yes,no,Applications Developer
4,5,1,4,yes,no,shell programming,medium,medium,hacking,Business process analyst,Product based,yes,Management,smart worker,no,no,Applications Developer
4,4,8,4,no,no,distro making,poor,poor,programming,Business process analyst,BPA,no,Technical,smart worker,no,yes,Applications Developer
6,4,2,7,no,no,distro making,poor,excellent,networks,security,SAaS services,no,Management,smart worker,yes,no,Applications Developer
1,0,6,6,no,yes,hadoop,excellent,excellent,cloud computing domain,security,Testing and Maintainance Services,yes,Management,hard worker,no,yes,Applications Developer
3,1,5,4,no,yes,full stack,medium,poor,Computer Architecture,developer,Finance,yes,Management,hard worker,yes,no,Applications Developer
8,4,4,9,yes,no,app development,medium,excellent,parallel computing,cloud computing,Product based,yes,Management,smart worker,no,yes,Applications Developer
5,4,3,6,no,no,app development,medium,medium,networks,cloud computing,product development,no,Technical,smart worker,no,no,Applications Developer
1,5,2,7,yes,no,python,excellent,poor,cloud computing domain,system developer,Finance,no,Technical,hard worker,no,yes,Applications Developer
4,0,5,5,no,no,shell programming,medium,excellent,Management,cloud computing,Sales and Marketing,yes,Management,hard worker,yes,yes,Applications Developer
3,0,3,5,yes,yes,shell programming,medium,medium,programming,cloud computing,Finance,no,Technical,hard worker,no,no,Applications Developer
2,6,3,2,yes,yes,full stack,excellent,poor,networks,cloud computing,BPA,yes,Management,smart worker,no,no,Applications Developer
2,1,7,1,no,no,machine learning,poor,poor,parallel computing,Business process analyst,Testing and Maintainance Services,no,Management,hard worker,no,yes,Applications Developer
6,4,9,2,no,yes,full stack,excellent,poor,Software Engineering,security,Finance,yes,Technical,hard worker,yes,no,Applications Developer
3,3,6,3,yes,no,shell programming,medium,poor,Management,testing,Product based,yes,Technical,hard worker,no,yes,Applications Developer
3,5,5,7,yes,yes,r programming,poor,excellent,hacking,cloud computing,Web Services,yes,Management,smart worker,no,yes,Applications Developer
7,1,6,5,yes,no,shell programming,medium,excellent,Computer Architecture,security,Testing and Maintainance Services,no,Technical,hard worker,no,yes,Applications Developer
3,5,4,1,no,no,shell programming,medium,excellent,cloud computing domain,system developer,Sales and Marketing,no,Technical,hard worker,no,no,Applications Developer
6,3,3,4,no,yes,shell programming,excellent,medium,cloud computing domain,security,Cloud Services,no,Management,smart worker,yes,yes,Applications Developer
1,0,7,8,yes,no,python,poor,medium,parallel computing,developer,Product based,no,Technical,hard worker,yes,no,Applications Developer
6,6,2,5,yes,no,machine learning,excellent,excellent,programming,testing,Web Services,no,Technical,hard worker,yes,yes,Applications Developer
6,0,7,8,yes,yes,hadoop,medium,medium,cloud computing domain,Business process analyst,Product based,no,Management,hard worker,yes,yes,Applications Developer
1,4,6,6,no,yes,python,poor,excellent,hacking,security,Product based,no,Management,smart worker,yes,no,Applications Developer
5,6,2,2,no,no,r programming,medium,excellent,hacking,developer,SAaS services,no,Technical,smart worker,no,no,Applications Developer
5,5,2,3,no,no,shell programming,excellent,poor,IOT,cloud computing,Finance,no,Management,smart worker,no,yes,Applications Developer
6,3,3,6,no,no,shell programming,excellent,excellent,Management,cloud computing,Testing and Maintainance Services,no,Management,smart worker,no,yes,Applications Developer
4,3,2,5,yes,no,python,poor,poor,IOT,developer,SAaS services,yes,Technical,smart worker,yes,yes,Applications Developer
2,2,7,8,no,yes,information security,excellent,medium,Computer Architecture,system developer,Finance,no,Technical,smart worker,yes,no,Applications Developer
6,6,4,1,yes,no,shell programming,excellent,excellent,IOT,Business process analyst,BPA,no,Technical,hard worker,yes,no,Applications Developer
6,3,9,1,no,yes,distro making,poor,medium,Management,developer,Sales and Marketing,yes,Management,hard worker,no,no,Applications Developer
3,0,7,3,yes,yes,full stack,poor,excellent,programming,cloud computing,Product based,no,Technical,smart worker,no,yes,Applications Developer
9,2,5,9,no,no,distro making,poor,excellent,Management,cloud computing,product development,yes,Management,smart worker,yes,yes,Applications Developer
3,2,4,1,yes,no,machine learning,medium,excellent,IOT,cloud computing,product development,no,Technical,hard worker,yes,yes,Applications Developer
3,5,1,5,no,no,app development,medium,poor,cloud computing domain,developer,Service Based,yes,Management,smart worker,yes,no,Applications Developer
2,2,2,2,yes,no,shell programming,medium,poor,parallel computing,developer,Web Services,yes,Technical,smart worker,yes,yes,Applications Developer
5,3,9,6,yes,yes,distro making,excellent,medium,hacking,developer,Service Based,no,Management,hard worker,no,yes,Applications Developer
6,6,4,3,no,yes,shell programming,excellent,medium,parallel computing,system developer,Finance,no,Management,hard worker,no,no,Applications Developer
3,4,1,1,yes,no,hadoop,poor,medium,IOT,cloud computing,Web Services,yes,Technical,smart worker,yes,no,Applications Developer
9,4,4,2,no,no,shell programming,poor,excellent,IOT,Business process analyst,Service Based,yes,Management,hard worker,yes,yes,Applications Developer
4,0,6,4,no,no,r programming,excellent,poor,Computer Architecture,developer,Sales and Marketing,no,Technical,hard worker,yes,yes,Applications Developer
1,3,7,5,no,no,r programming,poor,poor,hacking,security,BPA,no,Technical,hard worker,no,yes,Applications Developer
4,3,8,9,no,no,machine learning,medium,poor,networks,testing,Service Based,no,Technical,smart worker,no,no,Applications Developer
4,0,8,7,yes,no,shell programming,medium,poor,cloud computing domain,security,Finance,no,Management,smart worker,yes,no,Applications Developer
8,5,1,4,yes,no,hadoop,excellent,excellent,Computer Architecture,system developer,Web Services,yes,Technical,hard worker,no,no,Applications Developer
4,6,2,8,no,yes,distro making,excellent,medium,programming,cloud computing,Sales and Marketing,yes,Management,hard worker,no,no,Applications Developer
5,3,7,3,no,no,hadoop,poor,poor,Management,system developer,SAaS services,no,Technical,smart worker,no,no,Applications Developer
2,2,2,3,yes,yes,hadoop,excellent,excellent,Computer Architecture,Business process analyst,Cloud Services,no,Management,smart worker,no,no,Applications Developer
8,1,2,8,no,no,hadoop,medium,excellent,parallel computing,testing,Finance,no,Technical,hard worker,yes,yes,Applications Developer
2,3,4,8,yes,no,shell programming,medium,excellent,programming,system developer,Web Services,yes,Technical,hard worker,yes,no,Applications Developer
2,5,9,1,no,no,shell programming,excellent,poor,programming,system developer,product development,no,Management,hard worker,no,yes,Applications Developer
7,4,9,3,yes,no,app development,poor,excellent,Software Engineering,cloud computing,Cloud Services,no,Technical,smart worker,no,yes,Applications Developer
5,3,6,4,no,yes,distro making,medium,poor,Management,testing,Finance,no,Technical,hard worker,yes,no,Applications Developer
6,3,2,7,yes,yes,hadoop,medium,excellent,parallel computing,developer,SAaS services,yes,Technical,hard worker,yes,no,Applications Developer
9,0,1,5,no,yes,machine learning,excellent,medium,parallel computing,Business process analyst,Cloud Services,yes,Management,smart worker,yes,no,Applications Developer
4,3,6,7,no,yes,machine learning,excellent,medium,Computer Architecture,developer,Sales and Marketing,yes,Management,smart worker,yes,no,Applications Developer
6,1,1,6,no,no,machine learning,excellent,excellent,programming,developer,Cloud Services,no,Technical,smart worker,yes,no,Applications Developer
5,0,7,2,yes,yes,python,poor,poor,cloud computing domain,Business process analyst,BPA,yes,Technical,smart worker,no,yes,Applications Developer
7,3,8,9,yes,yes,full stack,medium,excellent,cloud computing domain,Business process analyst,Cloud Services,yes,Management,smart worker,yes,no,Applications Developer
6,0,6,4,no,yes,python,poor,medium,programming,testing,Service Based,yes,Management,smart worker,yes,yes,Applications Developer
5,4,6,3,yes,no,full stack,poor,medium,cloud computing domain,system developer,Web Services,yes,Management,smart worker,yes,yes,Applications Developer
2,2,4,6,yes,yes,shell programming,medium,excellent,programming,security,Product based,no,Management,smart worker,no,yes,Applications Developer
2,0,1,8,yes,yes,distro making,poor,medium,programming,Business process analyst,Testing and Maintainance Services,yes,Technical,smart worker,no,no,Applications Developer
4,6,8,3,no,no,machine learning,excellent,medium,Management,Business process analyst,Sales and Marketing,no,Technical,smart worker,no,yes,Applications Developer
7,6,3,9,no,yes,full stack,medium,poor,Computer Architecture,testing,Web Services,yes,Technical,hard worker,yes,yes,Applications Developer
4,6,8,4,yes,yes,information security,excellent,poor,cloud computing domain,testing,Testing and Maintainance Services,no,Management,hard worker,no,no,Applications Developer
4,5,7,4,yes,yes,information security,poor,poor,Management,Business process analyst,Product based,yes,Technical,hard worker,no,yes,Applications Developer
4,3,2,1,no,no,information security,poor,medium,IOT,system developer,Testing and Maintainance Services,no,Management,smart worker,yes,yes,Applications Developer
7,0,6,6,yes,yes,python,excellent,poor,data engineering,system developer,SAaS services,no,Technical,hard worker,yes,yes,Applications Developer
1,1,5,3,yes,yes,hadoop,excellent,medium,IOT,cloud computing,product development,no,Management,smart worker,yes,no,Applications Developer
9,5,9,6,no,no,hadoop,medium,excellent,IOT,developer,Service Based,yes,Management,smart worker,no,yes,Applications Developer
3,2,4,2,no,no,hadoop,medium,medium,data engineering,developer,Sales and Marketing,yes,Technical,smart worker,no,yes,Applications Developer
2,6,7,4,yes,yes,full stack,poor,poor,Management,system developer,Testing and Maintainance Services,yes,Technical,hard worker,yes,yes,Applications Developer
1,6,8,1,no,no,shell programming,medium,medium,hacking,testing,Finance,no,Management,smart worker,yes,no,Applications Developer
6,5,5,6,no,yes,hadoop,medium,medium,data engineering,testing,Sales and Marketing,no,Management,hard worker,no,yes,Applications Developer
1,1,7,7,no,no,information security,poor,medium,data engineering,security,SAaS services,yes,Technical,hard worker,no,yes,Applications Developer
1,6,7,9,no,yes,information security,medium,poor,hacking,cloud computing,SAaS services,yes,Management,hard worker,no,yes,Applications Developer
8,6,2,1,no,yes,r programming,medium,medium,cloud computing domain,security,Web Services,no,Technical,hard worker,no,no,Applications Developer
5,4,7,1,yes,no,information security,medium,medium,hacking,cloud computing,Sales and Marketing,yes,Management,smart worker,no,no,Applications Developer
6,1,1,7,no,yes,full stack,medium,medium,Software Engineering,system developer,SAaS services,no,Technical,smart worker,yes,yes,Applications Developer
3,4,3,3,yes,yes,python,poor,medium,networks,security,Sales and Marketing,no,Technical,smart worker,no,no,Applications Developer
4,1,7,8,yes,no,shell programming,poor,medium,Computer Architecture,testing,Testing and Maintainance Services,yes,Technical,smart worker,yes,no,Applications Developer
3,4,8,6,yes,yes,hadoop,poor,poor,IOT,developer,Cloud Services,yes,Technical,smart worker,yes,no,Applications Developer
